baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00150	163.270979432521	0.161519634762692	0.110132758244478	1.4665902982666	0.142487540794935	0.620037986067735
EQU24_RS00155	66.6771567006288	0.160209029778134	0.110254505338182	1.4530837473419	0.146200503014229	0.626396210366697
EQU24_RS00160	610.04437871649	0.344180317378612	0.078477485134174	4.38572052595929	1.15602470569415e-05	0.00106065834588429
EQU24_RS00165	41.8366333930626	0.106098018345144	0.101047124213874	1.04998553071713	0.293724765261769	0.79427094807429
EQU24_RS00170	208.99479485966	0.0220614814294083	0.112160126738765	0.19669629547399	0.844065209247562	0.984091076544648
EQU24_RS00175	38.935418740868	0.115071633958289	0.11130435759056	1.03384662064703	0.301207872804409	0.79997128296083
EQU24_RS00180	346.824952359173	-0.115877988371843	0.1087445826308	-1.06559780329713	0.286605492653284	0.788506999556
EQU24_RS00185	52.2464690651429	0.118468880368263	0.113012839945468	1.04827805783332	0.294510515995428	0.794760756703744
EQU24_RS00190	88.1002728228304	0.281833618797013	0.102410865934752	2.75198941269158	0.00592344358928058	0.0979587979146587
EQU24_RS00195	463.999047188984	0.159077147925798	0.112593174606302	1.41284894472541	0.157700143517632	0.648144378041915
EQU24_RS00205	88.8562375265279	0.2931543432284	0.0969130947676587	3.0249198411341	0.00248699031257917	0.055763849453164
EQU24_RS00210	278.450399665085	-0.0836448052812929	0.112940364065003	-0.740610374101068	0.458929716059236	0.884546482337669
EQU24_RS00215	142.387513968061	-0.105530028591824	0.110414796679461	-0.9557598416649	0.339193581446805	0.830191203589633
EQU24_RS00225	651.046307007548	0.0747203713371158	0.0954369529835329	0.782929138045808	0.433668725586394	0.876497947691224
EQU24_RS00230	443.312487267613	-0.187852301749319	0.110160399169833	-1.70526162908787	0.0881456404940175	0.50528449675841
EQU24_RS00245	218.785247542606	0.0367125523078069	0.113039289157751	0.324776921204565	0.745349912693049	0.966904170239204
EQU24_RS00250	91.3341812682763	0.314622725527377	0.106778394926275	2.94650173140932	0.00321390619787329	0.0665196175108544
EQU24_RS00255	138.255204685934	0.341846417836782	0.107950998016769	3.1666814028313	0.00154189144032669	0.0415737018268937
EQU24_RS00260	182.663062223035	0.327313273190105	0.109548400040232	2.98784165784163	0.00280955072672835	0.0606382178239338
EQU24_RS00265	652.462028603969	0.151181397122003	0.112487539558997	1.34398349999212	0.178953722562914	0.672492760022271
EQU24_RS00270	494.054389937159	-0.153134410329223	0.112136595815289	-1.36560602019224	0.172062655980738	0.666446066987915
EQU24_RS00275	516.81846286682	0.0285710666165598	0.0947896541062763	0.301415453890426	0.763097711450007	0.970035390051096
EQU24_RS00280	724.463270186274	-0.0463930640744534	0.110889638665687	-0.418371496495902	0.675675523195535	0.951315745612003
EQU24_RS00285	693.699979214761	-0.00877761684713052	0.0979528874679922	-0.0896105982582571	0.928596662101199	0.993608636712306
EQU24_RS00290	270.053271043222	-0.0143195336516488	0.112257897109519	-0.127559254363002	0.898497777943093	0.991759730313864
EQU24_RS00300	1961.41111392484	-0.215553171804258	0.112018200712687	-1.9242691851222	0.0543208509931578	0.39864656206745
EQU24_RS00305	558.826291023072	-0.301319055711968	0.0989563578700015	-3.04496913788813	0.00232704187558234	0.0533633011923314
EQU24_RS00310	1816.84954815213	-0.126645178184551	0.110569441663449	-1.14539041058047	0.252047468886874	0.760988974252675
EQU24_RS00315	552.752284679269	-0.209878450501688	0.112445257893886	-1.86649445634914	0.0619722189442297	0.423214679625907
EQU24_RS00320	491.970131042475	-0.191143031221	0.112211032109982	-1.70342458871294	0.0884886394016693	0.50528449675841
EQU24_RS00330	818.013676673816	-0.185993764920783	0.113014893543812	-1.64574561005696	0.0998161444345486	0.53930114984985
EQU24_RS00335	709.993062577585	-0.215957392507732	0.107401146523513	-2.01075500120898	0.0443513413063865	0.361318264469512
EQU24_RS00340	664.281957098578	-0.180897124828441	0.112986984463361	-1.60104392278122	0.109367191166986	0.563736888314119
EQU24_RS00345	606.10474712157	-0.138157954728449	0.108507581132369	-1.27325623967148	0.2029271296519	0.706655647346908
